,상가업소번호,상호명,상권업종대분류명,상권업종소분류명,지번주소,도로명주소
11021,MA010120220803820251,루디아,소매,기타 의류 소매업,세종특별자치시 세종특별자치시 조치원읍 정리 28-3,세종특별자치시 세종특별자치시 조치원읍 조치원6길 27
11022,MA010120220803825500,빚은,음식,빵/도넛,세종특별자치시 세종특별자치시 소담동 580,세종특별자치시 세종특별자치시 소담1로 16
11023,MA010120220803821503,한우장군,음식,소고기 구이/찜,세종특별자치시 세종특별자치시 장군면 산학리 7,세종특별자치시 세종특별자치시 장군면 영평사길 3-18
11024,MA010120220803821525,아인컴퍼니,소매,화장품 소매업,세종특별자치시 세종특별자치시 나성동 797,세종특별자치시 세종특별자치시 나성로 125-4
11025,MA010120220803817966,주예광고,과학·기술,광고 대행업,세종특별자치시 세종특별자치시 조치원읍 남리 334,세종특별자치시 세종특별자치시 조치원읍 번영1길 41
11026,MA010120220803830508,돼지가족족발,음식,백반/한정식,세종특별자치시 세종특별자치시 조치원읍 죽림리 158-7,세종특별자치시 세종특별자치시 조치원읍 죽림로 40
11027,MA010120220803823680,싸움의고수세종,음식,족발/보쌈,세종특별자치시 세종특별자치시 보람동 706,세종특별자치시 세종특별자치시 시청대로 137
11028,MA010120220803819929,충남농부장터,소매,채소/과일 소매업,세종특별자치시 세종특별자치시 대평동 677,세종특별자치시 세종특별자치시 대평로 75
11029,MA010120220803752475,디자인템플,과학·기술,명함/간판/광고물 제작,세종특별자치시 세종특별자치시 보람동 711,세종특별자치시 세종특별자치시 시청대로 213
11030,MA010120220803787391,이슈양꼬치마을,음식,중국집,세종특별자치시 세종특별자치시 한솔동 931,세종특별자치시 세종특별자치시 노을3로 90
11031,MA010120220803769257,종합건축사사무소명인CM,과학·기술,건축 설계 및 관련 서비스업,세종특별자치시 세종특별자치시 어진동 671,세종특별자치시 세종특별자치시 갈매로 351
11032,MA010120220803828338,킹코인노래방,예술·스포츠,노래방,세종특별자치시 세종특별자치시 조치원읍 신안리 341-15,세종특별자치시 세종특별자치시 조치원읍 섭골길 86-1
11033,MA010120220803812094,신화기획,과학·기술,시각 디자인업,세종특별자치시 세종특별자치시 장군면 금암리 387-4,세종특별자치시 세종특별자치시 장군면 대학길 38-1
11034,MA010120220803812176,알즈너세우리,소매,의료기기 소매업,세종특별자치시 세종특별자치시 조치원읍 교리 25-10,세종특별자치시 세종특별자치시 조치원읍 새내로 117
11035,MA010120220803795838,네드지점,과학·기술,기타 엔지니어링 서비스업,세종특별자치시 세종특별자치시 대평동 684,세종특별자치시 세종특별자치시 한누리대로 2270
11036,MA010120220803784221,파스타제작소파스타&필라프,음식,파스타/스테이크,세종특별자치시 세종특별자치시 고운동 2112,세종특별자치시 세종특별자치시 마음안1로 139
11037,MA010120220803788499,가장맛있는족발,음식,족발/보쌈,세종특별자치시 세종특별자치시 고운동 1156,세종특별자치시 세종특별자치시 마음로 240
11038,MA010120220803811817,청명드림산업,시설관리·임대,"산업설비, 운송장비 및 공공장소 청소업",세종특별자치시 세종특별자치시 조치원읍 서창리 291-3,세종특별자치시 세종특별자치시 조치원읍 충현로 217
11039,MA010120220803785172,골동반,음식,백반/한정식,세종특별자치시 세종특별자치시 종촌동 673,세종특별자치시 세종특별자치시 도움1로 108
11040,MA010120220803788805,대원,시설관리·임대,건설기계/장비 대여업,세종특별자치시 세종특별자치시 부강면 등곡리 350-1,세종특별자치시 세종특별자치시 부강면 등곡1길 5-3
11041,MA010120220803785387,해솔,음식,구내식당,세종특별자치시 세종특별자치시 연동면 내판리 696,세종특별자치시 세종특별자치시 연동면 명학산단로 135
11042,MA010120220803785709,카페베네치아세종전의점,음식,카페,세종특별자치시 세종특별자치시 전의면 동교리 227-2,세종특별자치시 세종특별자치시 전의면 왕의물로 92
11043,MA010120220803786345,디앤디컴퍼니R&D,음식,카페,세종특별자치시 세종특별자치시 소담동 525,세종특별자치시 세종특별자치시 한누리대로 1962
11044,MA010120220803782601,보물찾기,소매,기념품점,세종특별자치시 세종특별자치시 조치원읍 번암리 53-6,세종특별자치시 세종특별자치시 조치원읍 허만석로 60-1
11045,MA010120220803782861,팔통생삼겹살,음식,백반/한정식,세종특별자치시 세종특별자치시 조치원읍 신흥리 100-3,세종특별자치시 세종특별자치시 조치원읍 군청로 108
11046,MA010120220803744133,세무회계사무소이지세종,과학·기술,세무사,세종특별자치시 세종특별자치시 종촌동 657,세종특별자치시 세종특별자치시 도움3로 105-5
11047,MA010120220803712009,뽀유케이크,음식,빵/도넛,세종특별자치시 세종특별자치시 대평동 668,세종특별자치시 세종특별자치시 대평로 80
11048,MA010120220803725925,엔케이솔루션,소매,컴퓨터/소프트웨어 소매업,세종특별자치시 세종특별자치시 보람동 751,세종특별자치시 세종특별자치시 호려울로 51
11049,MA010120220803712561,마리네일,수리·개인,네일숍,세종특별자치시 세종특별자치시 소담동 572,세종특별자치시 세종특별자치시 소담로 93
11050,MA010120220803717305,아이디헤어세종,수리·개인,미용실,세종특별자치시 세종특별자치시 어진동 524,세종특별자치시 세종특별자치시 가름로 143
11051,MA010120220803714081,블레스,음식,경양식,세종특별자치시 세종특별자치시 나성동 795,세종특별자치시 세종특별자치시 나성로 125-16
11052,MA010120220803722622,함흥고려면옥,음식,냉면/밀면,세종특별자치시 세종특별자치시 조치원읍 신안리 390,세종특별자치시 세종특별자치시 조치원읍 섭골길 30-4
11053,MA010120220803711213,크린토피아세종아름에코타운점,수리·개인,세탁소,세종특별자치시 세종특별자치시 아름동 1276,세종특별자치시 세종특별자치시 보듬3로 74
11054,MA010120220803705693,세종시서창역공인중개사사무소,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 조치원읍 서창리 296-9,세종특별자치시 세종특별자치시 조치원읍 돌마루4길 3
11055,MA010120220803701591,카페보냄,음식,카페,세종특별자치시 세종특별자치시 연서면 봉암리 54-23,세종특별자치시 세종특별자치시 연서면 당산로 362
11056,MA010120220803684306,한국마을기업중앙협회,과학·기술,경영 컨설팅업,세종특별자치시 세종특별자치시 연서면 봉암리 203-1,세종특별자치시 세종특별자치시 연서면 봉암길 8
11057,MA010120220803673272,산들내건강원,소매,건강보조식품 소매업,세종특별자치시 세종특별자치시 조치원읍 침산리 217-1,세종특별자치시 세종특별자치시 조치원읍 장등고개길 10-2
11058,MA010120220803673443,오케이이엔씨기술사사무소,과학·기술,건물 및 토목 엔지니어링 서비스업,세종특별자치시 세종특별자치시 도담동 717,세종특별자치시 세종특별자치시 보듬3로 38
11059,MA010120220803685570,바디앤솔세종,교육,요가/필라테스 학원,세종특별자치시 세종특별자치시 반곡동 49-14,세종특별자치시 세종특별자치시 한누리대로 1820
11060,MA010120220803670231,두산F.S,소매,채소/과일 소매업,세종특별자치시 세종특별자치시 조치원읍 서창리 42-25,세종특별자치시 세종특별자치시 조치원읍 새주막1길 7
11061,MA010120220803674902,으뜸뷔페,음식,뷔페,세종특별자치시 세종특별자치시 전의면 관정리 718,세종특별자치시 세종특별자치시 전의면 산단길 22-4
11062,MA010120220803679286,성준엔지니어링,과학·기술,도시 계획 및 조경 설계 서비스업,세종특별자치시 세종특별자치시 보람동 741,세종특별자치시 세종특별자치시 한누리대로 2149
11063,MA010120220803670974,치킨마루,음식,치킨,세종특별자치시 세종특별자치시 다정동 916,세종특별자치시 세종특별자치시 다정북로 109
11064,MA010120220803708010,고운동물병원,과학·기술,동물병원,세종특별자치시 세종특별자치시 고운동 1006,세종특별자치시 세종특별자치시 마음로 241
11065,MA010120220803699809,헤이데이,과학·기술,광고물 설계/제작업,세종특별자치시 세종특별자치시 보람동 721,세종특별자치시 세종특별자치시 한누리대로 2144
11066,MA010120220803671434,시공인아키텍츠건축사사무소,과학·기술,건축 설계 및 관련 서비스업,세종특별자치시 세종특별자치시 보람동 721,세종특별자치시 세종특별자치시 한누리대로 2144
11067,MA010120220803700069,"숲,답숲이답이다",예술·스포츠,기타 오락관련 서비스업,세종특별자치시 세종특별자치시 보람동 712,세종특별자치시 세종특별자치시 시청대로 219
11068,MA010120220803675739,오잉코인노래연습장,예술·스포츠,노래방,세종특별자치시 세종특별자치시 나성동 791,세종특별자치시 세종특별자치시 나성로 133-15
11069,MA010120220803851986,만나샵앤SR컴퍼니,과학·기술,광고 대행업,세종특별자치시 세종특별자치시 나성동 797,세종특별자치시 세종특별자치시 나성로 125-4
11070,MA010120220803860401,토스트박스,음식,토스트/샌드위치/샐러드,세종특별자치시 세종특별자치시 대평동 668,세종특별자치시 세종특별자치시 대평로 80
11071,MA010120220803856525,라라식당,음식,백반/한정식,세종특별자치시 세종특별자치시 나성동 782,세종특별자치시 세종특별자치시 나성로 41
11072,MA010120220803860670,짜글이와뒷고기,음식,돼지고기 구이/찜,세종특별자치시 세종특별자치시 나성동 750,세종특별자치시 세종특별자치시 한누리대로 227
11073,MA010120220803855407,표가네명품순두부,음식,백반/한정식,세종특별자치시 세종특별자치시 아름동 1330,세종특별자치시 세종특별자치시 아름서1길 13-12
11074,MA010120220803857520,맛깔참죽,음식,백반/한정식,세종특별자치시 세종특별자치시 조치원읍 남리 34-2,세종특별자치시 세종특별자치시 조치원읍 새내로 69-1
11075,MA010120220803856914,애슐리인테리어디자인,과학·기술,인테리어 디자인업,세종특별자치시 세종특별자치시 종촌동 656,세종특별자치시 세종특별자치시 도움1로 74
11076,MA010120220803868425,제이제이시그니처당구클럽,예술·스포츠,당구장,세종특별자치시 세종특별자치시 나성동 800,세종특별자치시 세종특별자치시 나성북로 21
11077,MA010120220803854042,연서로스터즈,음식,카페,세종특별자치시 세종특별자치시 반곡동 772-3,세종특별자치시 세종특별자치시 국책연구원5로 19
11078,MA010120220803866641,티노파이브세종,소매,신발 소매업,세종특별자치시 세종특별자치시 고운동 1039,세종특별자치시 세종특별자치시 마음로 231
11079,MA010120220803865508,모임,수리·개인,미용실,세종특별자치시 세종특별자치시 소담동 594,세종특별자치시 세종특별자치시 남세종로 358
11080,MA010120220803858582,양지부동산,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 금남면 영곡리 38-1,세종특별자치시 세종특별자치시 금남면 성덕영곡길 185
11081,MA010120220803862810,씨유세종스마트,소매,편의점,세종특별자치시 세종특별자치시 보람동 722,세종특별자치시 세종특별자치시 한누리대로 2150
11082,MA010120220803859116,한다리,음식,돼지고기 구이/찜,세종특별자치시 세종특별자치시 장군면 대교리 136-2,세종특별자치시 세종특별자치시 장군면 대교길 136
11083,MA010120220803863333,더아트헤어,수리·개인,미용실,세종특별자치시 세종특별자치시 고운동 1400,세종특별자치시 세종특별자치시 마음로 181
11084,MA010120220803863126,파오파오101,음식,카페,세종특별자치시 세종특별자치시 고운동 1713,세종특별자치시 세종특별자치시 고운서길 10
11085,MA010120220803863482,전동철물건재,소매,철물/공구 소매업,세종특별자치시 세종특별자치시 전동면 노장리 608-11,세종특별자치시 세종특별자치시 전동면 전동로 27
11086,MA010120220803854610,리멤버노래연습장,예술·스포츠,노래방,세종특별자치시 세종특별자치시 도담동 669,세종특별자치시 세종특별자치시 보듬3로 8-11
11087,MA010120220803857708,더밥,음식,돼지고기 구이/찜,세종특별자치시 세종특별자치시 조치원읍 죽림리 114-1,세종특별자치시 세종특별자치시 조치원읍 세종로 2282
11088,MA010120220803863996,바른우리치과교정과치과의원,보건의료,치과의원,세종특별자치시 세종특별자치시 새롬동 578,세종특별자치시 세종특별자치시 새롬중앙로 64
11089,MA010120220803864332,어울림기획,과학·기술,광고물 설계/제작업,세종특별자치시 세종특별자치시 나성동 768,세종특별자치시 세종특별자치시 한누리대로 234
11090,MA010120220803997655,썸모텔,숙박,여관/모텔,세종특별자치시 세종특별자치시 부강면 문곡리 703-2,세종특별자치시 세종특별자치시 부강면 부강외천로 210
11091,MA010120220803989268,피제리아무로,음식,중국집,세종특별자치시 세종특별자치시 금남면 장재리 388-2,세종특별자치시 세종특별자치시 금남면 금남구즉로 232
11092,MA010120220803989326,반에이크,소매,여성 의류 소매업,세종특별자치시 세종특별자치시 어진동 503,세종특별자치시 세종특별자치시 절재로 154
11093,MA010120220803985447,사과나무,음식,카페,세종특별자치시 세종특별자치시 연서면 월하리 966-24,세종특별자치시 세종특별자치시 연서면 오봉로 25-1
11094,MA010120220803970630,남면약국,소매,약국,세종특별자치시 세종특별자치시 연기면 연기리 374-5,세종특별자치시 세종특별자치시 연기면 당산로 132-1
11095,MA010120220803986603,커피베이세종마크원애비뉴점,음식,카페,세종특별자치시 세종특별자치시 나성동 815,세종특별자치시 세종특별자치시 국세청로 32
11096,MA010120220803986663,황금왕족발,음식,족발/보쌈,세종특별자치시 세종특별자치시 다정동 969,세종특별자치시 세종특별자치시 가온로 9
11097,MA010120220803986980,오후네시,음식,카페,세종특별자치시 세종특별자치시 대평동 668,세종특별자치시 세종특별자치시 대평로 80
11098,MA010120220803983062,황룡공인중개사사무소,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 금남면 황용리 435-2,세종특별자치시 세종특별자치시 금남면 금남구즉로 473
11099,MA010120220803921278,나성포차,음식,요리 주점,세종특별자치시 세종특별자치시 나성동 791,세종특별자치시 세종특별자치시 나성로 133-15
11100,MA010120220803912725,송송만두,음식,김밥/만두/분식,세종특별자치시 세종특별자치시 조치원읍 교리 20-12,세종특별자치시 세종특별자치시 조치원읍 조치원5길 38
11101,MA010120220803937921,황금공인중개사사무소,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 장군면 봉안리 439-8,세종특별자치시 세종특별자치시 장군면 장척로 519
11102,MA010120220803918309,엠넷,소매,핸드폰 소매업,세종특별자치시 세종특별자치시 고운동 1720,세종특별자치시 세종특별자치시 마음로 70
11103,MA010120220803926386,누가베스트,소매,의료기기 소매업,세종특별자치시 세종특별자치시 나성동 721,세종특별자치시 세종특별자치시 한누리대로 165
11104,MA010120220803922554,어나언,음식,빵/도넛,세종특별자치시 세종특별자치시 고운동 2112,세종특별자치시 세종특별자치시 마음안1로 139
11105,MA010120220803918788,분식왕,음식,김밥/만두/분식,세종특별자치시 세종특별자치시 아름동 1289,세종특별자치시 세종특별자치시 보듬3로 104-15
11106,MA010120220803919054,델리하우스,음식,김밥/만두/분식,세종특별자치시 세종특별자치시 한솔동 946,세종특별자치시 세종특별자치시 노을1로 16
11107,MA010120220803915634,에스티에스디자인컴퍼니,과학·기술,시각 디자인업,세종특별자치시 세종특별자치시 대평동 674,세종특별자치시 세종특별자치시 대평3길 18
11108,MA010120220803935148,이루다입시학원,교육,입시·교과학원,세종특별자치시 세종특별자치시 아름동 1293,세종특별자치시 세종특별자치시 보듬3로 92
11109,MA010120220803919430,셀독24스터디카페세종새롬점,예술·스포츠,독서실/스터디 카페,세종특별자치시 세종특별자치시 새롬동 582,세종특별자치시 세종특별자치시 새롬중앙로 63
11110,MA010120220803911959,샤인인테리어,과학·기술,인테리어 디자인업,세종특별자치시 세종특별자치시 금남면 용포리 87-5,세종특별자치시 세종특별자치시 금남면 용포1길 13
